vehicle_plate,unit_id,driver_id,driver_name,driver_phone,department,region,safety_score
A079AM250,879edff3-be37-478e-a665-8c674a8661b4,DRV-4459,Михайлов Антон Борисович,+76945912660,Логистика · Север,Татарстан,54
M477YM790,b5f05f9a-b7b9-442c-bccf-a86469c499f1,DRV-8145,Гусев Вячеслав Александрович,+78314539245,Логистика · Север,Москва,30
В224ВВ125,35465f3f-e01b-4f1b-a750-39a40af5bdff,DRV-4766,Новиков Александр Владимирович,+71076608210,Логистика · Юг,Санкт-Петербург,50
В844УВ186,1e4f2eac-1ab9-4a6b-ae2f-404c34806902,DRV-1421,Морозов Сергей Иванович,+76642141622,Доставка · Запад,Свердловская обл.,20
К279ХМ154,2d9e6091-b3d5-49f6-ad23-21e0101909fa,DRV-6634,Никитин Геннадий Олегович,+72163425895,Логистика · Юг,Москва,28
К524ВР977,ca66539e-c0ae-4471-9f38-b9152eb5f5e6,DRV-5361,Козлов Иван Андреевич,+71636129481,Логистика · Север,Московская обл.,61
К776ВС977,39595e1f-9bfe-4e28-8c2e-a5e20eb386ef,DRV-2011,Козлов Иван Андреевич,+79901104573,Логистика · Север,Краснодарский край,42
М078ОО154,76c6242c-3ba9-487f-943b-4a678a3a4ef3,DRV-7679,Захаров Тимур Ринатович,+77667921143,Логистика · Центр,Санкт-Петербург,20
М083ОУ124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,DRV-2211,Козлов Иван Андреевич,+77321129835,Доставка · Восток,Приморский край,55
М482АТ156,8259025c-3675-42b9-bc8d-8ae1004da285,DRV-1545,Козлов Иван Андреевич,+72054514668,Логистика · Юг,Московская обл.,30
О802УЕ198,2efda222-ac14-4184-b8c7-f4f6fe6a4a77,DRV-6262,Никитин Геннадий Олегович,+70826201842,Логистика · Центр,Москва,41
Р680МА196,bb719c43-44be-4e41-95cf-6d19d3121df7,DRV-3943,Зайцев Николай Владимирович,+72794329963,Доставка · Восток,Москва,28
С643УР799,1fe8e814-eb91-4075-a32f-dd598e206834,DRV-8218,Волков Андрей Михайлович,+73821823252,Доставка · Запад,Санкт-Петербург,39
С725АТ159,cf7ded7d-ebc3-4f1b-aa8a-0ec937b791fc,DRV-1303,Кузнецов Артём Дмитриевич,+75630313579,Логистика · Юг,Татарстан,42
С737СЕ198,007ecbc2-deb0-43cc-ba38-fcbc7496a71d,DRV-9163,Богданов Олег Николаевич,+79916320933,Доставка · Запад,Санкт-Петербург,55
С806УА797,412d7022-5aaf-4c87-ace9-d3160743636f,DRV-1159,Морозов Сергей Иванович,+74315925301,Логистика · Юг,Свердловская обл.,46
Т266АК977,3e8e062e-eff2-4e11-bc5b-03f4e15d167b,DRV-6846,Волков Андрей Михайлович,+74984603079,Логистика · Север,Московская обл.,48
Т780РН198,0cfa33e2-7331-49d2-8ed6-fe5b58ba699c,DRV-5532,Попов Виктор Анатольевич,+72053216670,Логистика · Север,Санкт-Петербург,62
У126ТК124,b93acd8d-6546-4571-8b58-dbbde1f4b3e0,DRV-6712,Сидоров Владимир Николаевич,+75871233355,Логистика · Юг,Приморский край,17
У444УА54,c258e249-b00d-491b-bac2-26b0e273193b,DRV-3518,Смирнов Павел Алексеевич,+75151819751,Логистика · Юг,Татарстан,28
У522ХЕ178,5531e93d-b865-46d4-aae9-a07bfb4eea36,DRV-4072,Орлов Евгений Сергеевич,+78607220608,Логистика · Центр,Москва,16
